日期,選手代碼,週期階段,訓練／活動,分鐘,session RPE,投球數,睡眠時數,酸痛0-10,狀態,教練備註
2026-08-03,P07,調整週,恢復／移動,35,3,0,7.6,1,正常,
2026-08-04,P07,調整週,牛棚,75,7,38,7.1,2,正常,
2026-08-05,P07,調整週,肌力,65,6,0,6.5,3,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-06,P07,調整週,技術＋跑動,70,6,18,7.2,2,正常,
2026-08-07,P07,調整週,比賽模擬,90,8,62,6.8,4,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-08,P07,調整週,恢復,40,3,0,8.0,2,正常,
2026-08-09,P07,調整週,休息,0,0,0,8.3,1,正常,
2026-08-10,P07,建立週,恢復／移動,35,3,0,7.6,1,正常,
2026-08-11,P07,建立週,牛棚,75,7,38,7.1,2,正常,
2026-08-12,P07,建立週,肌力,65,6,0,6.5,3,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-13,P07,建立週,技術＋跑動,70,6,18,7.2,2,正常,
2026-08-14,P07,建立週,比賽模擬,90,8,66,6.8,4,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-15,P07,建立週,恢復,40,3,0,8.0,2,正常,
2026-08-16,P07,建立週,休息,0,0,0,8.3,1,正常,
2026-08-17,P07,專項週,恢復／移動,35,3,0,7.6,1,正常,
2026-08-18,P07,專項週,牛棚,75,7,38,7.1,2,正常,
2026-08-19,P07,專項週,肌力,65,6,0,6.5,3,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-20,P07,專項週,技術＋跑動,70,6,18,7.2,2,正常,
2026-08-21,P07,專項週,比賽模擬,90,8,66,6.8,4,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-22,P07,專項週,恢復,40,3,0,8.0,2,正常,
2026-08-23,P07,專項週,休息,0,0,0,8.3,1,正常,
2026-08-24,P07,減量前週,恢復／移動,35,3,0,7.6,1,正常,
2026-08-25,P07,減量前週,牛棚,75,7,38,7.1,2,正常,
2026-08-26,P07,減量前週,肌力,65,6,0,6.5,3,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-27,P07,減量前週,技術＋跑動,70,6,18,7.2,2,正常,
2026-08-28,P07,減量前週,比賽模擬,90,8,62,6.8,4,注意,若疼痛加劇、投球品質下降或疲勞回報異常，交由教練確認
2026-08-29,P07,減量前週,恢復,40,3,0,8.0,2,正常,
2026-08-30,P07,減量前週,休息,0,0,0,8.3,1,正常,
