week,athlete_code,attendance_sessions,planned_sessions,average_session_rpe,speed_session_quality,coach_note
W-3,A01,4,4,7.0,穩定,最後一組仍維持技術
W-3,A02,4,4,7.5,穩定,速度耐力後隔日疲勞較高
W-3,A03,4,4,7.0,後段下降,第三組後軀幹位置改變
W-3,A04,3,4,4.0,未測,依返場流程完成核准內容
W-3,A05,4,4,6.5,波動,起跑姿勢需要重複提示
W-3,A06,4,4,8.0,穩定,完成量高但恢復較慢
W-3,A07,4,4,7.0,穩定,重量室需要控制動作品質
W-3,A08,3,4,6.0,資料不足,缺席一次且測驗未完成
W-3,A09,3,4,4.0,未測,只完成核准的低衝擊內容
W-3,A10,2,4,6.5,資料不足,校務因素缺席兩次
W-3,A11,4,4,6.5,波動,速度課總量低於高年級
W-3,A12,4,4,7.0,穩定,接力交棒練習順利
W-2,A01,4,4,7.5,穩定,速度品質維持
W-2,A02,4,4,8.0,後段下降,最後一次跑後恢復較慢
W-2,A03,4,4,7.5,後段下降,需要延長組間恢復
W-2,A04,4,4,4.5,未測,沒有加入全速內容
W-2,A05,4,4,7.0,波動,前兩組較好
W-2,A06,3,4,7.5,穩定,請假一次
W-2,A07,4,4,7.0,穩定,動作控制改善
W-2,A08,4,4,6.5,波動,完成第一次完整週
W-2,A09,3,4,4.5,未測,一次因不適提前停止
W-2,A10,3,4,7.0,波動,重新建立連續出席
W-2,A11,4,4,6.5,波動,需要分組減量
W-2,A12,4,4,7.5,穩定,加速品質良好
W-1,A01,4,4,7.0,穩定,無異常
W-1,A02,4,4,7.5,穩定,調整後恢復改善
W-1,A03,4,4,7.0,穩定,減少一組後品質改善
W-1,A04,4,4,5.0,未測,持續依限制執行
W-1,A05,4,4,6.5,穩定,技術提示後改善
W-1,A06,4,4,7.5,穩定,仍需注意隔日疲勞
W-1,A07,4,4,7.0,穩定,重量室執行正常
W-1,A08,4,4,6.5,資料不足,尚未完成飛行20m測驗
W-1,A09,3,4,4.0,未測,依限制執行且未加量
W-1,A10,4,4,7.0,波動,出席恢復但近期總量仍不足
W-1,A11,4,4,6.5,穩定,低年資組執行正常
W-1,A12,4,4,7.0,穩定,接力練習正常

