athlete_code,grade,primary_event,training_age_years,100m_pb_sec,200m_pb_sec,30m_test_sec,flying_20m_sec,current_training_note,restriction_note
A01,高三,100m,4,11.42,23.61,4.12,2.18,近期出席穩定且速度課品質穩定,無已知限制
A02,高三,200m,4,11.68,23.18,4.18,2.21,200m主項且近期完成量較高,無已知限制
A03,高二,100m,3,11.96,24.52,4.25,2.26,加速表現穩定但後段技術容易改變,無已知限制
A04,高二,100m,2,12.21,25.08,4.31,,依既有返場流程調整中,目前不可進行全速跑且需依專業人員既有建議執行
A05,高一,100m,1,12.88,26.44,4.49,2.39,訓練年資較短且需要更多技術提示,無已知限制
A06,高三,200m,4,11.81,23.47,4.19,2.23,速度耐力課後恢復通常需要較久,無已知限制
A07,高二,200m,2,12.14,24.79,4.32,2.31,出席穩定但重量室動作仍需教練密切觀察,無已知限制
A08,高一,100m,1,13.02,26.91,4.55,2.43,近期才加入團隊且測驗資料有限,無已知限制
A09,高三,200m,3,12.06,24.12,4.27,2.29,可參與一般熱身與核准的低衝擊內容,出現疼痛需停止並依既有專業建議處理
A10,高二,100m,2,12.35,25.31,4.36,2.34,出席偶有中斷且負荷連續性不足,無已知限制
A11,高一,200m,1,12.91,26.08,4.51,2.41,技術學習中且不適合直接套用高年級總量,無已知限制
A12,高三,100m,4,11.59,24.06,4.15,2.20,可作為接力候選且近期狀況穩定,無已知限制

